call_date,platform,intent,call_duration_sec,num_turns,num_reprompts,asr_confidence,api_latency_ms,transferred_to_agent,csat_score,duration_minmax,latency_zscore,turns_decimal,duration_category,asr_level
2026-01-19,Legacy IVR,Make a Payment,201.0,5,1,0.989,360.0,0,4.0,0.2953,1.5856,0.05,Medium (2.5-5 min),High
2026-03-02,New Platform,Recent Transactions,183.0,3,0,0.888,237.0,0,5.0,0.2506,0.143,0.03,Medium (2.5-5 min),High
2026-02-08,New Platform,Cancel a Payment,264.0,9,0,0.872,151.0,0,4.0,0.4516,-0.8656,0.09,Medium (2.5-5 min),Medium
2026-02-04,Legacy IVR,Make a Payment,352.0,6,2,0.757,173.0,0,3.0,0.67,-0.6076,0.06,Long (>5 min),Low
2026-01-20,Legacy IVR,Make a Payment,355.0,9,3,0.829,193.0,0,4.0,0.6774,-0.373,0.09,Long (>5 min),Medium
2026-01-30,New Platform,Rewards Redemption,376.0,7,0,0.846,167.0,1,3.0,0.7295,-0.6779,0.07,Long (>5 min),Medium
2026-01-07,Legacy IVR,Rewards Redemption,398.0,7,1,0.82,235.0,0,4.0,0.7841,0.1196,0.07,Long (>5 min),Low
2026-03-20,New Platform,Recent Transactions,189.0,6,0,0.876,296.0,0,4.0,0.2655,0.835,0.06,Medium (2.5-5 min),Medium
2026-02-02,Legacy IVR,Balance Inquiry,159.0,4,1,0.77,216.0,0,3.0,0.1911,-0.1033,0.04,Medium (2.5-5 min),Low
2026-01-07,Legacy IVR,Cancel a Payment,319.0,9,2,0.678,158.0,0,3.0,0.5881,-0.7835,0.09,Long (>5 min),Low
2026-03-20,New Platform,Recent Transactions,148.0,8,0,0.906,170.0,0,4.0,0.1638,-0.6427,0.08,Short (<2.5 min),High
2026-03-29,Legacy IVR,Cancel a Payment,281.0,5,1,0.898,239.0,0,3.0,0.4938,0.1665,0.05,Medium (2.5-5 min),High
2026-02-05,Legacy IVR,Cancel a Payment,267.0,10,0,0.786,284.0,0,4.0,0.4591,0.6942,0.1,Medium (2.5-5 min),Low
2026-01-14,Legacy IVR,Recent Transactions,323.0,9,4,0.904,236.0,0,3.0,0.598,0.1313,0.09,Long (>5 min),High
2026-02-04,Legacy IVR,Make a Payment,319.0,9,1,0.837,264.0,0,4.0,0.5881,0.4597,0.09,Long (>5 min),Medium
2026-03-26,New Platform,Make a Payment,159.0,3,0,0.954,162.0,0,4.0,0.1911,-0.7366,0.03,Medium (2.5-5 min),High
2026-03-15,New Platform,Cancel a Payment,301.0,7,0,0.903,146.0,0,4.0,0.5434,-0.9242,0.07,Long (>5 min),High
2026-01-11,New Platform,Make a Payment,255.0,5,0,0.906,102.0,0,4.0,0.4293,-1.4402,0.05,Medium (2.5-5 min),High
2026-03-04,New Platform,Make a Payment,239.0,6,2,0.938,285.0,0,3.0,0.3896,0.706,0.06,Medium (2.5-5 min),High
2026-01-31,Legacy IVR,Cancel a Payment,408.0,8,2,0.863,152.0,0,4.0,0.8089,-0.8538,0.08,Long (>5 min),Medium
2026-03-20,New Platform,Cancel a Payment,320.0,10,1,0.9,203.0,0,4.0,0.5906,-0.2557,0.1,Long (>5 min),High
2026-03-27,New Platform,Recent Transactions,163.0,8,1,0.829,183.0,0,4.0,0.201,-0.4903,0.08,Medium (2.5-5 min),Medium
2026-02-08,Legacy IVR,Make a Payment,337.0,5,1,0.852,257.0,0,5.0,0.6328,0.3776,0.05,Long (>5 min),Medium
2026-01-01,Legacy IVR,Balance Inquiry,402.0,7,3,0.758,128.0,1,3.0,0.794,-1.1353,0.07,Long (>5 min),Low
2026-01-07,Legacy IVR,Rewards Redemption,438.0,10,2,0.819,674.0,0,4.0,0.8834,5.2681,0.1,Long (>5 min),Low
2026-03-02,New Platform,Recent Transactions,142.0,5,0,0.92,112.0,0,5.0,0.1489,-1.323,0.05,Short (<2.5 min),High
2026-02-18,New Platform,Balance Inquiry,112.0,4,1,0.949,116.0,0,4.0,0.0744,-1.276,0.04,Short (<2.5 min),High
2026-03-09,New Platform,Rewards Redemption,432.0,11,1,0.98,134.0,1,3.0,0.8685,-1.0649,0.11,Long (>5 min),High
2026-03-18,New Platform,Recent Transactions,153.0,4,0,0.903,151.0,0,5.0,0.1762,-0.8656,0.04,Medium (2.5-5 min),High
2026-02-06,Legacy IVR,Balance Inquiry,181.0,6,2,0.925,222.0,0,4.0,0.2457,-0.0329,0.06,Medium (2.5-5 min),High
2026-01-05,Legacy IVR,Rewards Redemption,422.0,10,1,0.922,196.0,0,4.0,0.8437,-0.3378,0.1,Long (>5 min),High
2026-03-10,Legacy IVR,Balance Inquiry,187.0,4,1,0.813,236.0,0,5.0,0.2605,0.1313,0.04,Medium (2.5-5 min),Low
2026-02-04,Legacy IVR,Cancel a Payment,338.0,9,2,0.761,281.0,0,4.0,0.6352,0.6591,0.09,Long (>5 min),Low
2026-01-11,Legacy IVR,Make a Payment,431.0,8,2,0.845,331.0,0,3.0,0.866,1.2455,0.08,Long (>5 min),Medium
2026-03-24,Legacy IVR,Make a Payment,451.0,10,2,0.699,216.0,0,3.0,0.9156,-0.1033,0.1,Long (>5 min),Low
2026-01-02,Legacy IVR,Make a Payment,264.0,6,1,0.776,281.0,0,4.0,0.4516,0.6591,0.06,Medium (2.5-5 min),Low
2026-01-23,Legacy IVR,Cancel a Payment,369.0,8,1,0.905,207.0,0,3.0,0.7122,-0.2088,0.08,Long (>5 min),High
2026-01-01,Legacy IVR,Recent Transactions,252.0,6,1,0.798,193.0,0,4.0,0.4218,-0.373,0.06,Medium (2.5-5 min),Low
2026-01-12,New Platform,Recent Transactions,267.0,4,0,0.632,190.0,1,5.0,0.4591,-0.4082,0.04,Medium (2.5-5 min),Low
2026-03-18,New Platform,Make a Payment,202.0,9,1,0.895,240.0,0,3.0,0.2978,0.1782,0.09,Medium (2.5-5 min),High
2026-01-07,Legacy IVR,Recent Transactions,191.0,4,1,0.849,214.0,0,5.0,0.2705,-0.1267,0.04,Medium (2.5-5 min),Medium
2026-02-04,Legacy IVR,Make a Payment,271.0,5,2,0.588,299.0,0,3.0,0.469,0.8702,0.05,Medium (2.5-5 min),Low
2026-03-21,New Platform,Recent Transactions,176.0,4,0,0.842,202.0,0,5.0,0.2333,-0.2674,0.04,Medium (2.5-5 min),Medium
2026-02-16,New Platform,Make a Payment,212.0,3,0,0.853,136.0,0,5.0,0.3226,-1.0415,0.03,Medium (2.5-5 min),Medium
2026-01-10,Legacy IVR,Balance Inquiry,235.0,11,2,0.81,272.0,0,4.0,0.3797,0.5535,0.11,Medium (2.5-5 min),Low
2026-02-19,New Platform,Rewards Redemption,298.0,10,1,0.822,125.0,0,4.0,0.536,-1.1705,0.1,Medium (2.5-5 min),Low
2026-01-13,Legacy IVR,Make a Payment,237.0,7,0,0.806,269.0,0,4.0,0.3846,0.5183,0.07,Medium (2.5-5 min),Low
2026-01-15,Legacy IVR,Recent Transactions,207.0,5,1,0.807,157.0,0,4.0,0.3102,-0.7952,0.05,Medium (2.5-5 min),Low
2026-03-11,Legacy IVR,Make a Payment,232.0,5,1,0.76,260.0,0,4.0,0.3722,0.4128,0.05,Medium (2.5-5 min),Low
2026-02-13,Legacy IVR,Make a Payment,248.0,6,0,0.842,246.0,0,4.0,0.4119,0.2486,0.06,Medium (2.5-5 min),Medium
2026-02-17,Legacy IVR,Balance Inquiry,192.0,7,2,0.848,357.0,0,5.0,0.273,1.5504,0.07,Medium (2.5-5 min),Medium
2026-02-02,Legacy IVR,Balance Inquiry,123.0,3,0,0.912,208.0,0,3.0,0.1017,-0.1971,0.03,Short (<2.5 min),High
2026-03-14,New Platform,Recent Transactions,145.0,7,0,0.726,232.0,0,4.0,0.1563,0.0844,0.07,Short (<2.5 min),Low
2026-03-25,New Platform,Make a Payment,202.0,4,1,0.965,187.0,0,3.0,0.2978,-0.4434,0.04,Medium (2.5-5 min),High
2026-01-31,New Platform,Make a Payment,287.0,8,1,0.864,261.0,0,5.0,0.5087,0.4245,0.08,Medium (2.5-5 min),Medium
2026-01-16,New Platform,Cancel a Payment,269.0,5,0,0.971,235.0,0,5.0,0.464,0.1196,0.05,Medium (2.5-5 min),High
2026-02-25,Legacy IVR,Rewards Redemption,317.0,10,0,0.796,400.0,0,5.0,0.5831,2.0547,0.1,Long (>5 min),Low
2026-03-08,Legacy IVR,Recent Transactions,236.0,6,0,0.838,181.0,0,4.0,0.3821,-0.5137,0.06,Medium (2.5-5 min),Medium
2026-01-31,Legacy IVR,Make a Payment,205.0,6,0,0.746,156.0,0,4.0,0.3052,-0.8069,0.06,Medium (2.5-5 min),Low
2026-01-19,Legacy IVR,Make a Payment,312.0,11,2,0.915,177.0,0,4.0,0.5707,-0.5606,0.11,Long (>5 min),High
2026-03-25,New Platform,Make a Payment,218.0,6,0,0.982,145.0,0,4.0,0.3375,-0.9359,0.06,Medium (2.5-5 min),High
2026-01-20,Legacy IVR,Recent Transactions,266.0,9,2,0.895,238.0,0,3.0,0.4566,0.1548,0.09,Medium (2.5-5 min),High
2026-03-19,New Platform,Balance Inquiry,94.0,4,0,0.927,106.0,0,3.0,0.0298,-1.3933,0.04,Short (<2.5 min),High
2026-03-26,New Platform,Make a Payment,306.0,11,3,0.699,149.0,0,4.0,0.5558,-0.889,0.11,Long (>5 min),Low
2026-01-26,Legacy IVR,Cancel a Payment,432.0,12,3,0.848,307.0,0,3.0,0.8685,0.964,0.12,Long (>5 min),Medium
2026-03-21,New Platform,Make a Payment,254.0,8,0,0.917,202.0,0,5.0,0.4268,-0.2674,0.08,Medium (2.5-5 min),High
2026-03-30,New Platform,Make a Payment,235.0,8,0,0.827,236.0,0,4.0,0.3797,0.1313,0.08,Medium (2.5-5 min),Medium
2026-01-07,Legacy IVR,Make a Payment,272.0,6,1,0.7,194.0,0,5.0,0.4715,-0.3613,0.06,Medium (2.5-5 min),Low
2026-03-09,Legacy IVR,Recent Transactions,188.0,6,1,0.688,259.0,0,4.0,0.263,0.401,0.06,Medium (2.5-5 min),Low
2026-02-17,Legacy IVR,Rewards Redemption,322.0,5,0,0.839,221.0,0,5.0,0.5955,-0.0446,0.05,Long (>5 min),Medium
2026-03-01,New Platform,Balance Inquiry,131.0,5,0,0.908,255.0,0,5.0,0.1216,0.3541,0.05,Short (<2.5 min),High
2026-02-23,New Platform,Cancel a Payment,266.0,5,0,0.933,184.0,0,4.0,0.4566,-0.4785,0.05,Medium (2.5-5 min),High
2026-02-26,New Platform,Rewards Redemption,468.0,12,3,0.838,179.0,0,3.0,0.9578,-0.5372,0.12,Long (>5 min),Medium
2026-03-17,Legacy IVR,Make a Payment,247.0,9,2,0.747,160.0,0,4.0,0.4094,-0.76,0.09,Medium (2.5-5 min),Low
2026-01-04,Legacy IVR,Cancel a Payment,435.0,9,2,0.783,216.0,0,2.0,0.8759,-0.1033,0.09,Long (>5 min),Low
2026-01-01,Legacy IVR,Make a Payment,246.0,7,2,0.838,311.0,0,4.0,0.4069,1.0109,0.07,Medium (2.5-5 min),Medium
2026-02-21,New Platform,Make a Payment,295.0,5,1,0.935,296.0,0,4.0,0.5285,0.835,0.05,Medium (2.5-5 min),High
2026-03-26,New Platform,Balance Inquiry,115.0,6,0,0.943,157.0,0,4.0,0.0819,-0.7952,0.06,Short (<2.5 min),High
2026-03-10,Legacy IVR,Cancel a Payment,482.0,7,2,0.607,152.0,1,4.0,0.9926,-0.8538,0.07,Long (>5 min),Low
2026-01-16,Legacy IVR,Recent Transactions,151.0,5,1,0.798,265.0,0,5.0,0.1712,0.4714,0.05,Medium (2.5-5 min),Low
2026-02-13,Legacy IVR,Make a Payment,274.0,10,1,0.718,199.0,0,4.0,0.4764,-0.3026,0.1,Medium (2.5-5 min),Low
2026-01-15,Legacy IVR,Balance Inquiry,117.0,5,0,0.716,169.0,0,5.0,0.0868,-0.6545,0.05,Short (<2.5 min),Low
2026-01-22,Legacy IVR,Cancel a Payment,306.0,12,2,0.947,170.0,0,3.0,0.5558,-0.6427,0.12,Long (>5 min),High
2026-01-05,Legacy IVR,Balance Inquiry,190.0,6,3,0.782,228.0,0,3.0,0.268,0.0375,0.06,Medium (2.5-5 min),Low
2026-02-15,New Platform,Cancel a Payment,318.0,6,1,0.944,201.0,1,3.0,0.5856,-0.2792,0.06,Long (>5 min),High
2026-01-27,New Platform,Make a Payment,306.0,9,3,0.844,182.0,0,4.0,0.5558,-0.502,0.09,Long (>5 min),Medium
2026-02-07,New Platform,Make a Payment,368.0,12,2,0.841,267.0,1,4.0,0.7097,0.4949,0.12,Long (>5 min),Medium
2026-01-14,Legacy IVR,Cancel a Payment,452.0,7,2,0.833,217.0,1,4.0,0.9181,-0.0915,0.07,Long (>5 min),Medium
2026-02-27,Legacy IVR,Make a Payment,275.0,8,1,0.732,241.0,0,4.0,0.4789,0.1899,0.08,Medium (2.5-5 min),Low
2026-02-05,Legacy IVR,Recent Transactions,262.0,10,2,0.708,205.0,0,3.0,0.4467,-0.2323,0.1,Medium (2.5-5 min),Low
2026-02-25,New Platform,Balance Inquiry,131.0,3,0,0.99,142.0,0,4.0,0.1216,-0.9711,0.03,Short (<2.5 min),High
2026-02-16,New Platform,Recent Transactions,167.0,4,0,0.933,142.0,0,5.0,0.2109,-0.9711,0.04,Medium (2.5-5 min),High
2026-02-26,Legacy IVR,Rewards Redemption,375.0,7,0,0.942,153.0,0,5.0,0.727,-0.8421,0.07,Long (>5 min),High
2026-01-17,New Platform,Rewards Redemption,194.0,4,0,0.956,176.0,0,5.0,0.2779,-0.5724,0.04,Medium (2.5-5 min),High
2026-02-23,Legacy IVR,Recent Transactions,201.0,4,0,0.872,241.0,0,4.0,0.2953,0.1899,0.04,Medium (2.5-5 min),Medium
2026-03-01,New Platform,Balance Inquiry,122.0,6,0,0.872,175.0,0,5.0,0.0993,-0.5841,0.06,Short (<2.5 min),Medium
2026-01-13,New Platform,Balance Inquiry,107.0,4,0,0.917,233.0,0,5.0,0.062,0.0961,0.04,Short (<2.5 min),High
2026-03-01,New Platform,Recent Transactions,248.0,4,0,0.838,134.0,0,4.0,0.4119,-1.0649,0.04,Medium (2.5-5 min),Medium
2026-01-07,New Platform,Make a Payment,282.0,9,0,0.934,271.0,1,3.0,0.4963,0.5418,0.09,Medium (2.5-5 min),High
2026-01-17,Legacy IVR,Balance Inquiry,215.0,5,1,0.88,232.0,0,4.0,0.33,0.0844,0.05,Medium (2.5-5 min),Medium
2026-01-11,Legacy IVR,Cancel a Payment,276.0,9,0,0.915,229.0,0,4.0,0.4814,0.0492,0.09,Medium (2.5-5 min),High
2026-03-19,New Platform,Recent Transactions,211.0,6,2,0.901,222.0,0,2.0,0.3201,-0.0329,0.06,Medium (2.5-5 min),High
2026-01-08,Legacy IVR,Balance Inquiry,264.0,6,1,0.881,214.0,1,4.0,0.4516,-0.1267,0.06,Medium (2.5-5 min),Medium
2026-02-14,Legacy IVR,Cancel a Payment,332.0,5,1,0.834,315.0,0,4.0,0.6203,1.0578,0.05,Long (>5 min),Medium
2026-03-20,Legacy IVR,Rewards Redemption,234.0,5,0,0.775,369.0,0,4.0,0.3772,1.6911,0.05,Medium (2.5-5 min),Low
2026-01-19,Legacy IVR,Balance Inquiry,275.0,6,2,0.786,189.0,1,3.0,0.4789,-0.4199,0.06,Medium (2.5-5 min),Low
2026-03-30,New Platform,Make a Payment,198.0,7,1,0.956,196.0,0,4.0,0.2878,-0.3378,0.07,Medium (2.5-5 min),High
2026-01-27,New Platform,Balance Inquiry,115.0,5,0,0.965,187.0,0,4.0,0.0819,-0.4434,0.05,Short (<2.5 min),High
2026-01-26,New Platform,Rewards Redemption,388.0,10,2,0.944,200.0,0,4.0,0.7593,-0.2909,0.1,Long (>5 min),High
2026-02-25,New Platform,Cancel a Payment,319.0,6,2,0.969,152.0,0,4.0,0.5881,-0.8538,0.06,Long (>5 min),High
2026-02-20,New Platform,Recent Transactions,180.0,7,2,0.913,177.0,0,4.0,0.2432,-0.5606,0.07,Medium (2.5-5 min),High
2026-03-18,New Platform,Balance Inquiry,177.0,7,1,0.668,166.0,0,4.0,0.2357,-0.6896,0.07,Medium (2.5-5 min),Low
2026-02-07,Legacy IVR,Balance Inquiry,230.0,6,2,0.858,408.0,0,5.0,0.3672,2.1485,0.06,Medium (2.5-5 min),Medium
2026-02-26,Legacy IVR,Balance Inquiry,259.0,4,1,0.889,199.0,1,3.0,0.4392,-0.3026,0.04,Medium (2.5-5 min),High
2026-01-13,Legacy IVR,Recent Transactions,341.0,10,2,0.889,186.0,0,4.0,0.6427,-0.4551,0.1,Long (>5 min),High
2026-03-08,New Platform,Make a Payment,254.0,7,1,0.872,166.0,0,3.0,0.4268,-0.6896,0.07,Medium (2.5-5 min),Medium
2026-01-26,Legacy IVR,Make a Payment,300.0,6,0,0.724,138.0,0,4.0,0.5409,-1.018,0.06,Medium (2.5-5 min),Low
2026-03-24,New Platform,Make a Payment,174.0,4,0,0.856,193.0,0,5.0,0.2283,-0.373,0.04,Medium (2.5-5 min),Medium
2026-01-21,Legacy IVR,Make a Payment,261.0,8,2,0.755,305.0,0,4.0,0.4442,0.9405,0.08,Medium (2.5-5 min),Low
2026-02-07,Legacy IVR,Make a Payment,339.0,8,1,0.867,194.0,0,3.0,0.6377,-0.3613,0.08,Long (>5 min),Medium
2026-03-31,New Platform,Recent Transactions,291.0,7,1,0.9,289.0,1,3.0,0.5186,0.7529,0.07,Medium (2.5-5 min),High
2026-03-12,New Platform,Rewards Redemption,250.0,7,0,0.941,162.0,0,3.0,0.4169,-0.7366,0.07,Medium (2.5-5 min),High
2026-03-15,New Platform,Recent Transactions,120.0,4,0,0.898,211.0,0,4.0,0.0943,-0.1619,0.04,Short (<2.5 min),High
2026-02-22,New Platform,Make a Payment,261.0,6,1,0.924,175.0,0,4.0,0.4442,-0.5841,0.06,Medium (2.5-5 min),High
2026-03-06,New Platform,Balance Inquiry,94.0,3,0,0.886,173.0,0,4.0,0.0298,-0.6076,0.03,Short (<2.5 min),Medium
2026-01-08,Legacy IVR,Make a Payment,259.0,10,1,0.822,185.0,0,4.0,0.4392,-0.4668,0.1,Medium (2.5-5 min),Low
2026-01-07,Legacy IVR,Recent Transactions,208.0,8,0,0.86,294.0,0,4.0,0.3127,0.8115,0.08,Medium (2.5-5 min),Medium
2026-03-13,Legacy IVR,Recent Transactions,362.0,6,3,0.711,262.0,1,2.0,0.6948,0.4362,0.06,Long (>5 min),Low
2026-02-03,Legacy IVR,Cancel a Payment,383.0,9,0,0.705,213.0,0,4.0,0.7469,-0.1384,0.09,Long (>5 min),Low
2026-03-19,New Platform,Balance Inquiry,121.0,3,0,0.717,167.0,0,4.0,0.0968,-0.6779,0.03,Short (<2.5 min),Low
2026-02-06,Legacy IVR,Make a Payment,314.0,9,0,0.802,263.0,0,4.0,0.5757,0.448,0.09,Long (>5 min),Low
2026-03-29,New Platform,Make a Payment,197.0,7,1,0.9,156.0,0,4.0,0.2854,-0.8069,0.07,Medium (2.5-5 min),High
2026-02-16,Legacy IVR,Make a Payment,313.0,7,1,0.762,175.0,0,4.0,0.5732,-0.5841,0.07,Long (>5 min),Low
2026-03-09,New Platform,Rewards Redemption,401.0,12,1,0.969,128.0,1,3.0,0.7916,-1.1353,0.12,Long (>5 min),High
2026-01-09,Legacy IVR,Recent Transactions,223.0,5,0,0.744,214.0,0,4.0,0.3499,-0.1267,0.05,Medium (2.5-5 min),Low
2026-02-18,Legacy IVR,Make a Payment,335.0,6,0,0.889,330.0,0,5.0,0.6278,1.2337,0.06,Long (>5 min),High
2026-01-06,Legacy IVR,Recent Transactions,164.0,6,1,0.887,165.0,0,4.0,0.2035,-0.7014,0.06,Medium (2.5-5 min),High
2026-02-06,Legacy IVR,Balance Inquiry,120.0,6,1,0.898,237.0,0,4.0,0.0943,0.143,0.06,Short (<2.5 min),High
2026-02-09,Legacy IVR,Make a Payment,210.0,8,2,0.739,150.0,0,4.0,0.3176,-0.8773,0.08,Medium (2.5-5 min),Low
2026-01-12,Legacy IVR,Make a Payment,288.0,10,0,0.946,298.0,0,4.0,0.5112,0.8584,0.1,Medium (2.5-5 min),High
2026-01-10,Legacy IVR,Make a Payment,274.0,7,1,0.672,144.0,0,4.0,0.4764,-0.9477,0.07,Medium (2.5-5 min),Low
2026-03-13,New Platform,Make a Payment,269.0,8,1,0.949,123.0,0,4.0,0.464,-1.1939,0.08,Medium (2.5-5 min),High
2026-01-23,New Platform,Cancel a Payment,197.0,8,1,0.877,210.0,0,4.0,0.2854,-0.1736,0.08,Medium (2.5-5 min),Medium
2026-03-21,New Platform,Make a Payment,204.0,6,0,0.756,237.0,0,3.0,0.3027,0.143,0.06,Medium (2.5-5 min),Low
2026-03-13,New Platform,Balance Inquiry,132.0,3,0,0.808,311.0,0,4.0,0.1241,1.0109,0.03,Short (<2.5 min),Low
2026-02-08,New Platform,Make a Payment,257.0,7,0,0.838,198.0,0,4.0,0.4342,-0.3144,0.07,Medium (2.5-5 min),Medium
2026-01-19,New Platform,Balance Inquiry,114.0,4,0,0.949,150.0,0,5.0,0.0794,-0.8773,0.04,Short (<2.5 min),High
2026-02-15,Legacy IVR,Rewards Redemption,459.0,10,3,0.894,191.0,0,3.0,0.9355,-0.3965,0.1,Long (>5 min),High
2026-02-11,Legacy IVR,Balance Inquiry,259.0,6,1,0.845,779.0,0,4.0,0.4392,6.4996,0.06,Medium (2.5-5 min),Medium
2026-02-15,Legacy IVR,Rewards Redemption,315.0,4,0,0.714,167.0,0,4.0,0.5782,-0.6779,0.04,Long (>5 min),Low
2026-03-31,New Platform,Rewards Redemption,320.0,12,0,0.795,159.0,0,4.0,0.5906,-0.7717,0.12,Long (>5 min),Low
