call_id,call_date,hour_of_day,platform,intent,call_duration_sec,num_turns,num_reprompts,asr_confidence,api_latency_ms,transferred_to_agent,csat_score
C10039,2026-01-04,15,New Platform,Recent Transactions,182.0,10,0,0.816,134.0,0,4.0
C10040,2026-01-04,15,Legacy IVR,Balance Inquiry,136.0,5,0,0.935,252.0,0,4.0
C10041,2026-01-04,19,Legacy IVR,Rewards Redemption,319.0,9,0,0.772,253.0,0,4.0
C10042,2026-01-04,21,New Platform,Cancel a Payment,300.0,6,2,0.942,159.0,0,2.0
C10043,2026-01-04,21,Legacy IVR,Balance Inquiry,183.0,7,1,0.859,192.0,0,3.0
C10044,2026-01-05,6,Legacy IVR,Make a Payment,469.0,12,3,0.744,240.0,1,1.0
C10045,2026-01-05,9,New Platform,Recent Transactions,206.0,5,0,0.966,201.0,0,4.0
C10046,2026-01-05,9,Legacy IVR,Make a Payment,337.0,8,1,0.739,156.0,0,3.0
C10047,2026-01-05,11,Legacy IVR,Balance Inquiry,190.0,6,3,0.782,228.0,0,3.0
C10048,2026-01-05,12,Legacy IVR,Make a Payment,429.0,6,0,0.643,228.0,1,4.0
C10049,2026-01-05,12,Legacy IVR,Balance Inquiry,153.0,6,0,0.855,223.0,0,4.0
C10050,2026-01-05,15,Legacy IVR,Cancel a Payment,338.0,7,2,0.864,333.0,0,3.0
C10051,2026-01-05,15,Legacy IVR,Balance Inquiry,150.0,4,0,0.964,251.0,0,2.0
C10052,2026-01-05,15,Legacy IVR,Rewards Redemption,,6,1,,174.0,0,3.0
C10053,2026-01-05,16,New Platform,Balance Inquiry,176.0,6,1,0.878,224.0,0,5.0
C10054,2026-01-05,16,Legacy IVR,Rewards Redemption,1951.0,5,0,0.812,168.0,0,5.0
C10055,2026-01-05,16,Legacy IVR,Balance Inquiry,129.0,4,1,0.711,216.0,0,4.0
C10056,2026-01-05,17,Legacy IVR,Rewards Redemption,422.0,10,1,0.922,196.0,0,4.0
C10057,2026-01-05,19,Legacy IVR,Recent Transactions,495.0,7,4,,253.0,1,
C10058,2026-01-05,22,Legacy IVR,Rewards Redemption,263.0,6,0,0.803,337.0,0,4.0
C10059,2026-01-06,6,Legacy IVR,Cancel a Payment,325.0,10,2,0.76,284.0,0,4.0
C10060,2026-01-06,8,Legacy IVR,Rewards Redemption,222.0,8,0,0.948,260.0,0,5.0
C10061,2026-01-06,8,Legacy IVR,Make a Payment,271.0,8,3,0.779,224.0,0,5.0
C10062,2026-01-06,9,Legacy IVR,Make a Payment,321.0,6,1,0.642,133.0,0,4.0
C10063,2026-01-06,10,Legacy IVR,Rewards Redemption,364.0,10,2,0.761,121.0,0,3.0
C10064,2026-01-06,10,New Platform,Balance Inquiry,108.0,6,0,0.697,,0,4.0
C10065,2026-01-06,12,Legacy IVR,Recent Transactions,321.0,7,0,,223.0,1,5.0
C10066,2026-01-06,13,Legacy IVR,Recent Transactions,164.0,6,1,0.887,165.0,0,4.0
C10067,2026-01-06,15,Legacy IVR,Rewards Redemption,436.0,9,1,0.777,134.0,1,2.0
C10068,2026-01-06,17,Legacy IVR,Make a Payment,241.0,4,0,0.481,212.0,0,5.0
C10069,2026-01-06,18,Legacy IVR,Make a Payment,370.0,12,4,0.728,141.0,0,3.0
C10070,2026-01-06,20,Legacy IVR,Cancel a Payment,426.0,7,1,0.584,197.0,1,
C10071,2026-01-06,20,Legacy IVR,Balance Inquiry,317.0,6,3,0.821,240.0,1,2.0
C10072,2026-01-06,21,Legacy IVR,Rewards Redemption,282.0,7,1,0.862,143.0,0,4.0
C10073,2026-01-06,22,Legacy IVR,Cancel a Payment,396.0,8,2,0.854,304.0,0,5.0
C10074,2026-01-07,6,Legacy IVR,Cancel a Payment,319.0,9,2,0.678,158.0,0,3.0
C10075,2026-01-07,6,Legacy IVR,Balance Inquiry,208.0,5,0,0.826,222.0,0,3.0
C10076,2026-01-07,6,Legacy IVR,Make a Payment,272.0,6,1,0.7,194.0,0,5.0
C10077,2026-01-07,8,Legacy IVR,Recent Transactions,208.0,8,0,0.86,294.0,0,4.0
C10078,2026-01-07,8,Legacy IVR,Make a Payment,307.0,8,1,0.728,224.0,0,4.0
C10079,2026-01-07,10,Legacy IVR,Make a Payment,260.0,4,0,0.811,211.0,0,
C10080,2026-01-07,10,New Platform,Balance Inquiry,135.0,4,0,0.792,159.0,0,3.0
C10081,2026-01-07,11,Legacy IVR,Recent Transactions,306.0,6,2,0.798,222.0,0,
C10082,2026-01-07,11,Legacy IVR,Cancel a Payment,285.0,7,2,0.763,181.0,0,3.0
C10083,2026-01-07,12,New Platform,Cancel a Payment,406.0,10,2,0.9,179.0,1,3.0
C10084,2026-01-07,12,New Platform,Make a Payment,282.0,9,0,0.934,271.0,1,3.0
C10085,2026-01-07,13,Legacy IVR,Rewards Redemption,303.0,12,0,0.888,150.0,0,5.0
C10086,2026-01-07,16,Legacy IVR,Make a Payment,322.0,7,3,0.836,309.0,0,
C10087,2026-01-07,16,Legacy IVR,Make a Payment,229.0,7,2,0.966,283.0,0,4.0
C10088,2026-01-07,19,Legacy IVR,Cancel a Payment,218.0,7,0,0.678,210.0,0,5.0
C10089,2026-01-07,19,New Platform,Cancel a Payment,240.0,8,0,0.777,245.0,0,4.0
C10090,2026-01-07,19,Legacy IVR,Make a Payment,267.0,8,2,0.772,,0,3.0
C10091,2026-01-07,20,Legacy IVR,Rewards Redemption,398.0,7,1,0.82,235.0,0,
C10092,2026-01-07,21,Legacy IVR,Rewards Redemption,438.0,10,2,0.819,674.0,0,4.0
C10093,2026-01-07,22,Legacy IVR,Rewards Redemption,428.0,9,3,0.774,164.0,0,3.0
C10094,2026-01-07,22,Legacy IVR,Recent Transactions,191.0,4,1,0.849,214.0,0,5.0
C10095,2026-01-07,22,Legacy IVR,Make a Payment,335.0,8,1,0.79,308.0,0,3.0
C10096,2026-01-08,6,Legacy IVR,Cancel a Payment,508.0,12,5,0.795,180.0,1,1.0
C10097,2026-01-08,9,Legacy IVR,Recent Transactions,218.0,5,1,0.683,161.0,0,
C10098,2026-01-08,10,Legacy IVR,Make a Payment,212.0,4,0,0.933,135.0,0,
C10099,2026-01-08,12,Legacy IVR,Make a Payment,245.0,6,0,0.884,370.0,0,
C10100,2026-01-08,12,New Platform,Recent Transactions,216.0,5,0,,465.0,0,4.0
C10101,2026-01-08,13,Legacy IVR,Rewards Redemption,278.0,5,2,0.833,167.0,0,4.0
C10102,2026-01-08,14,New Platform,Make a Payment,338.0,6,1,0.907,192.0,0,5.0
C10103,2026-01-08,15,Legacy IVR,Balance Inquiry,182.0,7,1,0.747,308.0,0,4.0
C10104,2026-01-08,18,Legacy IVR,Make a Payment,259.0,10,1,0.822,185.0,0,4.0
C10105,2026-01-08,18,Legacy IVR,Rewards Redemption,504.0,9,1,0.635,205.0,1,3.0
C10106,2026-01-08,18,Legacy IVR,Rewards Redemption,272.0,7,0,0.95,196.0,0,4.0
C10107,2026-01-08,21,Legacy IVR,Balance Inquiry,264.0,6,1,0.881,214.0,1,
C10108,2026-01-09,7,Legacy IVR,Make a Payment,267.0,9,1,0.858,238.0,0,4.0
C10109,2026-01-09,7,Legacy IVR,Make a Payment,483.0,10,2,0.83,180.0,1,3.0
C10110,2026-01-09,8,New Platform,Balance Inquiry,93.0,3,0,0.946,242.0,0,4.0
C10111,2026-01-09,8,Legacy IVR,Recent Transactions,425.0,11,5,0.859,226.0,1,1.0
C10112,2026-01-09,9,Legacy IVR,Rewards Redemption,,9,1,0.842,286.0,0,3.0
C10113,2026-01-09,9,Legacy IVR,Recent Transactions,223.0,5,0,0.744,214.0,0,4.0
C10114,2026-01-09,11,Legacy IVR,Recent Transactions,199.0,8,1,0.804,164.0,0,5.0
C10115,2026-01-09,12,Legacy IVR,Make a Payment,309.0,9,0,0.77,254.0,0,5.0
C10116,2026-01-09,17,Legacy IVR,Make a Payment,205.0,4,1,0.778,302.0,0,3.0
C10117,2026-01-09,18,Legacy IVR,Make a Payment,398.0,10,1,0.909,256.0,0,4.0
C10118,2026-01-09,22,Legacy IVR,Recent Transactions,232.0,7,1,,339.0,0,3.0
C10119,2026-01-10,6,New Platform,Make a Payment,207.0,5,0,0.851,287.0,0,5.0
C10120,2026-01-10,8,Legacy IVR,Balance Inquiry,130.0,3,0,0.746,207.0,0,5.0
C10121,2026-01-10,9,Legacy IVR,Recent Transactions,280.0,7,4,0.68,,0,3.0
C10122,2026-01-10,9,Legacy IVR,Make a Payment,355.0,6,2,0.876,268.0,0,
C10123,2026-01-10,9,New Platform,Recent Transactions,142.0,5,1,0.934,126.0,0,4.0
C10124,2026-01-10,13,Legacy IVR,Make a Payment,274.0,7,1,0.672,144.0,0,
C10125,2026-01-10,15,Legacy IVR,Cancel a Payment,341.0,11,2,,177.0,0,
C10126,2026-01-10,18,Legacy IVR,Balance Inquiry,250.0,3,0,0.621,249.0,1,3.0
C10127,2026-01-10,18,Legacy IVR,Make a Payment,258.0,7,0,0.915,311.0,0,5.0
C10128,2026-01-10,18,Legacy IVR,Balance Inquiry,235.0,11,2,0.81,272.0,0,4.0
C10129,2026-01-10,18,Legacy IVR,Recent Transactions,218.0,6,1,0.758,192.0,0,5.0
C10130,2026-01-10,19,Legacy IVR,Rewards Redemption,451.0,6,0,0.868,2361.0,0,4.0
C10131,2026-01-10,19,Legacy IVR,Recent Transactions,176.0,6,1,0.799,279.0,0,4.0
C10132,2026-01-10,20,Legacy IVR,Make a Payment,195.0,5,0,0.719,321.0,0,4.0
C10133,2026-01-10,20,New Platform,Make a Payment,263.0,7,1,0.872,145.0,0,5.0
C10134,2026-01-10,20,Legacy IVR,Make a Payment,313.0,8,1,0.81,184.0,0,4.0
C10135,2026-01-10,21,Legacy IVR,Make a Payment,2724.0,6,2,0.757,208.0,0,5.0
C10136,2026-01-10,21,Legacy IVR,Balance Inquiry,354.0,7,2,,325.0,1,
C10137,2026-01-10,21,Legacy IVR,Balance Inquiry,127.0,6,0,0.634,,0,3.0
C10138,2026-01-10,21,New Platform,Recent Transactions,165.0,5,0,0.963,213.0,0,5.0
C10139,2026-01-11,8,Legacy IVR,Balance Inquiry,172.0,9,1,0.894,234.0,0,4.0
C10140,2026-01-11,8,Legacy IVR,Balance Inquiry,194.0,5,2,0.891,264.0,0,4.0
C10141,2026-01-11,8,Legacy IVR,Recent Transactions,298.0,8,3,0.785,233.0,0,
C10142,2026-01-11,9,Legacy IVR,Recent Transactions,218.0,4,0,0.743,221.0,0,4.0
C10143,2026-01-11,9,Legacy IVR,Cancel a Payment,332.0,7,1,0.927,,0,3.0
C10144,2026-01-11,13,Legacy IVR,Cancel a Payment,276.0,9,0,0.915,229.0,0,4.0
C10145,2026-01-11,14,New Platform,Make a Payment,195.0,6,0,0.784,164.0,0,5.0
C10146,2026-01-11,17,Legacy IVR,Rewards Redemption,437.0,11,2,0.74,244.0,0,4.0
C10147,2026-01-11,17,Legacy IVR,Rewards Redemption,511.0,7,0,0.889,302.0,0,5.0
C10148,2026-01-11,22,Legacy IVR,Make a Payment,431.0,8,2,0.845,331.0,0,3.0
C10149,2026-01-11,22,New Platform,Make a Payment,255.0,5,0,0.906,102.0,0,4.0
C10150,2026-01-11,22,New Platform,Rewards Redemption,287.0,6,0,0.963,252.0,0,4.0
C10151,2026-01-12,6,Legacy IVR,Cancel a Payment,291.0,8,2,0.663,350.0,0,4.0
C10152,2026-01-12,8,New Platform,Recent Transactions,267.0,4,0,0.632,190.0,1,5.0
C10153,2026-01-12,9,Legacy IVR,Rewards Redemption,511.0,10,0,0.727,295.0,0,5.0
C10154,2026-01-12,10,Legacy IVR,Balance Inquiry,196.0,8,3,0.708,251.0,0,3.0
C10155,2026-01-12,10,Legacy IVR,Rewards Redemption,313.0,9,1,0.929,307.0,0,4.0
C10156,2026-01-12,10,Legacy IVR,Rewards Redemption,340.0,11,0,0.947,201.0,0,4.0
C10157,2026-01-12,11,Legacy IVR,,443.0,10,2,0.756,201.0,1,2.0
C10158,2026-01-12,12,Legacy IVR,Make a Payment,264.0,5,0,0.863,232.0,0,4.0
C10159,2026-01-12,14,Legacy IVR,Rewards Redemption,286.0,5,0,0.839,313.0,0,4.0
C10160,2026-01-12,16,Legacy IVR,Cancel a Payment,413.0,5,2,0.537,191.0,1,3.0
C10161,2026-01-12,16,Legacy IVR,Make a Payment,368.0,8,2,0.759,225.0,0,3.0
C10162,2026-01-12,19,Legacy IVR,Balance Inquiry,260.0,5,1,0.735,177.0,1,
C10163,2026-01-12,21,Legacy IVR,Recent Transactions,280.0,7,2,0.743,245.0,0,4.0
C10164,2026-01-12,22,New Platform,Balance Inquiry,105.0,6,0,0.85,238.0,0,
C10165,2026-01-12,22,Legacy IVR,Recent Transactions,158.0,7,1,0.85,189.0,0,
C10166,2026-01-12,22,Legacy IVR,Make a Payment,288.0,10,0,0.946,298.0,0,4.0
C10167,2026-01-13,6,New Platform,Make a Payment,253.0,6,0,0.922,186.0,0,4.0
C10168,2026-01-13,7,Legacy IVR,Recent Transactions,341.0,10,2,0.889,,0,4.0
C10169,2026-01-13,7,Legacy IVR,Make a Payment,276.0,5,2,0.674,178.0,0,4.0
C10170,2026-01-13,7,New Platform,Cancel a Payment,201.0,8,0,0.814,,0,4.0
C10171,2026-01-13,8,New Platform,Recent Transactions,298.0,5,0,0.822,143.0,1,2.0
C10172,2026-01-13,8,Legacy IVR,Make a Payment,237.0,7,0,0.806,269.0,0,4.0
C10173,2026-01-13,8,Legacy IVR,Make a Payment,310.0,7,1,0.802,222.0,0,4.0
C10174,2026-01-13,13,New Platform,Make a Payment,228.0,3,0,0.849,205.0,0,4.0
C10175,2026-01-13,14,Legacy IVR,Make a Payment,364.0,8,1,,302.0,1,3.0
C10176,2026-01-13,15,Legacy IVR,Make a Payment,374.0,10,1,0.898,239.0,0,5.0
C10177,2026-01-13,15,Legacy IVR,Cancel a Payment,318.0,9,1,,233.0,0,
C10178,2026-01-13,16,Legacy IVR,Cancel a Payment,366.0,10,1,0.804,309.0,0,4.0
C10179,2026-01-13,16,Legacy IVR,Make a Payment,290.0,8,1,0.671,215.0,0,3.0
C10180,2026-01-13,16,New Platform,Balance Inquiry,107.0,4,0,0.917,233.0,0,5.0
C10181,2026-01-13,16,New Platform,Recent Transactions,300.0,6,1,0.861,208.0,1,3.0
C10182,2026-01-13,18,New Platform,Recent Transactions,165.0,6,0,0.955,147.0,0,5.0
C10183,2026-01-13,20,Legacy IVR,Recent Transactions,267.0,8,3,0.851,213.0,0,
C10184,2026-01-13,22,Legacy IVR,Rewards Redemption,323.0,7,0,0.706,336.0,0,4.0
C10185,2026-01-14,6,Legacy IVR,Cancel a Payment,265.0,4,0,0.844,244.0,0,4.0
C10186,2026-01-14,6,Legacy IVR,Make a Payment,459.0,9,1,0.777,94.0,1,3.0
C10187,2026-01-14,10,New Platform,Make a Payment,218.0,7,0,0.987,122.0,0,5.0
C10188,2026-01-14,11,Legacy IVR,Balance Inquiry,161.0,5,1,0.868,223.0,0,4.0
C10189,2026-01-14,13,Legacy IVR,Recent Transactions,323.0,9,4,0.904,236.0,0,3.0
C10190,2026-01-14,19,Legacy IVR,Cancel a Payment,452.0,7,2,0.833,217.0,1,
C10191,2026-01-14,19,Legacy IVR,Cancel a Payment,330.0,5,1,0.843,267.0,0,3.0
C10192,2026-01-14,20,New Platform,Rewards Redemption,221.0,5,1,0.962,220.0,0,4.0
C10193,2026-01-14,20,Legacy IVR,Make a Payment,371.0,12,3,0.902,275.0,0,3.0
C10194,2026-01-15,6,New Platform,Balance Inquiry,160.0,5,0,0.879,170.0,0,3.0
C10195,2026-01-15,7,New Platform,Cancel a Payment,312.0,9,0,0.976,134.0,0,5.0
C10196,2026-01-15,8,New Platform,Make a Payment,216.0,5,0,0.834,260.0,0,4.0
C10197,2026-01-15,14,Legacy IVR,Recent Transactions,191.0,5,0,0.656,,0,4.0
C10198,2026-01-15,14,Legacy IVR,Recent Transactions,207.0,5,1,0.807,157.0,0,4.0
C10199,2026-01-15,14,Legacy IVR,,240.0,8,2,0.809,379.0,0,3.0
C10200,2026-01-15,15,Legacy IVR,Cancel a Payment,366.0,12,1,0.759,164.0,0,5.0
C10201,2026-01-15,18,Legacy IVR,Balance Inquiry,117.0,5,0,0.716,169.0,0,5.0
C10202,2026-01-15,19,Legacy IVR,Balance Inquiry,118.0,3,0,0.654,237.0,0,4.0
C10203,2026-01-15,21,Legacy IVR,Cancel a Payment,308.0,11,1,0.746,177.0,0,4.0
C10204,2026-01-16,6,Legacy IVR,Make a Payment,266.0,7,2,,278.0,0,4.0
C10205,2026-01-16,8,New Platform,Recent Transactions,191.0,7,1,0.912,148.0,0,3.0
C10206,2026-01-16,8,New Platform,Cancel a Payment,269.0,5,0,0.971,235.0,0,5.0
C10207,2026-01-16,9,New Platform,Cancel a Payment,212.0,9,0,0.962,156.0,0,3.0
C10208,2026-01-16,11,New Platform,Recent Transactions,150.0,4,0,0.897,160.0,0,5.0
C10209,2026-01-16,14,Legacy IVR,Make a Payment,206.0,8,0,0.793,405.0,0,4.0
C10210,2026-01-16,15,New Platform,Cancel a Payment,438.0,5,1,,278.0,1,3.0
C10211,2026-01-16,16,Legacy IVR,Recent Transactions,151.0,5,1,0.798,265.0,0,5.0
C10212,2026-01-16,17,Legacy IVR,Rewards Redemption,270.0,4,0,0.71,263.0,0,4.0
C10213,2026-01-16,18,Legacy IVR,Balance Inquiry,118.0,4,0,0.728,267.0,0,5.0
C10214,2026-01-16,18,Legacy IVR,Recent Transactions,260.0,6,0,,224.0,0,4.0
C10215,2026-01-16,18,Legacy IVR,Make a Payment,275.0,5,0,0.74,280.0,0,4.0
C10216,2026-01-16,19,Legacy IVR,Recent Transactions,210.0,5,0,0.749,,0,4.0
C10217,2026-01-16,21,Legacy IVR,Make a Payment,335.0,7,1,0.905,236.0,0,5.0
C10218,2026-01-16,21,Legacy IVR,Cancel a Payment,270.0,8,1,0.773,248.0,0,3.0
C10219,2026-01-16,22,Legacy IVR,Balance Inquiry,139.0,5,1,0.75,287.0,0,
C10220,2026-01-17,6,New Platform,Balance Inquiry,150.0,8,0,0.876,139.0,0,
C10221,2026-01-17,6,Legacy IVR,Cancel a Payment,287.0,9,1,,246.0,0,4.0
C10222,2026-01-17,7,Legacy IVR,Balance Inquiry,215.0,5,1,0.88,232.0,0,4.0
C10223,2026-01-17,8,Legacy IVR,Recent Transactions,160.0,3,0,0.777,214.0,0,4.0
C10224,2026-01-17,8,New Platform,Rewards Redemption,212.0,4,0,0.869,182.0,0,4.0
C10225,2026-01-17,8,Legacy IVR,Balance Inquiry,146.0,5,2,0.611,186.0,0,5.0
C10226,2026-01-17,9,New Platform,Balance Inquiry,156.0,6,1,,195.0,0,5.0
C10227,2026-01-17,9,Legacy IVR,Balance Inquiry,220.0,5,1,0.669,,0,
C10228,2026-01-17,10,New Platform,Recent Transactions,163.0,3,0,0.78,184.0,0,
C10229,2026-01-17,11,Legacy IVR,Balance Inquiry,354.0,8,4,0.897,418.0,1,2.0
C10230,2026-01-17,11,Legacy IVR,Cancel a Payment,359.0,5,1,0.79,286.0,0,4.0
C10231,2026-01-17,12,Legacy IVR,Balance Inquiry,158.0,7,1,0.882,195.0,0,4.0
C10232,2026-01-17,12,Legacy IVR,Make a Payment,555.0,15,2,0.751,242.0,1,2.0
C10233,2026-01-17,13,Legacy IVR,Make a Payment,248.0,6,1,0.944,251.0,0,3.0
C10234,2026-01-17,14,Legacy IVR,Balance Inquiry,138.0,7,0,0.844,378.0,0,4.0
C10235,2026-01-17,14,Legacy IVR,Make a Payment,327.0,6,1,0.811,397.0,0,4.0
C10236,2026-01-17,17,Legacy IVR,Balance Inquiry,136.0,4,0,0.676,193.0,0,5.0
C10237,2026-01-17,18,New Platform,Rewards Redemption,194.0,4,0,0.956,176.0,0,5.0
C10238,2026-01-17,18,New Platform,Make a Payment,379.0,8,2,0.895,178.0,1,3.0
C10239,2026-01-17,19,Legacy IVR,Make a Payment,515.0,12,2,0.779,235.0,1,3.0
C10240,2026-01-17,19,Legacy IVR,Balance Inquiry,109.0,3,0,,352.0,0,4.0
C10241,2026-01-17,20,Legacy IVR,Make a Payment,207.0,7,0,0.736,261.0,0,4.0
C10242,2026-01-17,20,Legacy IVR,Make a Payment,270.0,9,1,0.881,214.0,0,4.0
C10243,2026-01-17,21,Legacy IVR,Recent Transactions,210.0,6,1,0.855,204.0,0,3.0
C10244,2026-01-17,21,New Platform,Recent Transactions,185.0,7,1,,234.0,0,5.0
C10245,2026-01-17,21,Legacy IVR,Recent Transactions,156.0,4,0,0.738,217.0,0,
C10246,2026-01-17,22,Legacy IVR,Make a Payment,400.0,7,1,0.931,,1,2.0
C10247,2026-01-18,6,New Platform,Balance Inquiry,108.0,5,0,0.867,188.0,0,4.0
C10248,2026-01-18,9,New Platform,Recent Transactions,123.0,5,0,0.764,167.0,0,4.0
C10249,2026-01-18,12,Legacy IVR,Make a Payment,338.0,10,2,0.915,281.0,0,3.0
C10250,2026-01-18,17,Legacy IVR,,218.0,6,1,0.845,392.0,0,5.0
C10251,2026-01-18,17,Legacy IVR,Make a Payment,161.0,6,0,,181.0,0,5.0
C10252,2026-01-18,18,Legacy IVR,Make a Payment,352.0,10,2,0.874,362.0,0,3.0
C10253,2026-01-18,20,Legacy IVR,Balance Inquiry,166.0,5,1,0.71,356.0,0,
C10254,2026-01-18,20,Legacy IVR,Make a Payment,290.0,7,0,0.859,300.0,0,5.0
C10255,2026-01-18,21,New Platform,Balance Inquiry,144.0,5,1,0.746,176.0,0,4.0
C10256,2026-01-18,21,Legacy IVR,Make a Payment,451.0,5,1,0.774,,0,4.0
C10257,2026-01-18,22,Legacy IVR,Recent Transactions,238.0,6,2,0.719,273.0,0,3.0
C10258,2026-01-19,6,Legacy IVR,Make a Payment,201.0,5,1,0.989,360.0,0,4.0
C10259,2026-01-19,6,Legacy IVR,Cancel a Payment,484.0,9,2,0.88,293.0,1,3.0
C10260,2026-01-19,8,Legacy IVR,Cancel a Payment,343.0,5,1,0.79,224.0,0,3.0
C10261,2026-01-19,9,Legacy IVR,Make a Payment,434.0,9,0,0.522,314.0,1,4.0
C10262,2026-01-19,9,Legacy IVR,Balance Inquiry,156.0,5,1,0.957,472.0,0,4.0
C10263,2026-01-19,11,Legacy IVR,Make a Payment,243.0,6,1,0.869,230.0,0,
C10264,2026-01-19,13,Legacy IVR,Recent Transactions,279.0,11,2,0.942,266.0,0,4.0
C10265,2026-01-19,15,Legacy IVR,Balance Inquiry,162.0,8,0,,208.0,0,5.0
C10266,2026-01-19,17,New Platform,Balance Inquiry,114.0,4,0,0.949,150.0,0,5.0
C10267,2026-01-19,19,Legacy IVR,,328.0,6,3,0.958,335.0,0,4.0
C10268,2026-01-19,20,Legacy IVR,Rewards Redemption,339.0,9,3,0.92,,0,
C10269,2026-01-19,21,New Platform,Recent Transactions,241.0,9,0,,158.0,0,4.0
C10270,2026-01-19,22,Legacy IVR,Make a Payment,312.0,11,2,0.915,177.0,0,4.0
C10271,2026-01-19,22,Legacy IVR,Balance Inquiry,275.0,6,2,0.786,189.0,1,3.0
C10272,2026-01-20,6,Legacy IVR,Rewards Redemption,365.0,5,1,0.937,246.0,0,
C10273,2026-01-20,8,Legacy IVR,Cancel a Payment,314.0,5,1,0.682,404.0,0,
C10274,2026-01-20,9,New Platform,Rewards Redemption,307.0,7,0,0.969,,0,5.0
C10275,2026-01-20,12,Legacy IVR,Recent Transactions,266.0,9,2,0.895,238.0,0,3.0
C10276,2026-01-20,14,Legacy IVR,Balance Inquiry,197.0,6,3,0.86,227.0,0,3.0
C10277,2026-01-20,14,New Platform,Make a Payment,216.0,7,1,0.953,205.0,0,3.0
C10278,2026-01-20,14,Legacy IVR,Make a Payment,355.0,9,3,0.829,193.0,0,
